# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr5.151658900.151659300	SPARC (+28065)
chr20.4760300.4761900	RASSF2 (+62545)
chr1.15756300.15756900	FBLIM1 (-7899)
chr1.15757600.15759800	FBLIM1 (-5799)
chr5.56480500.56482000	IL6ST (-486257)
chr1.24864300.24864900	RUNX3 (+100410)
chr13.32811200.32811900	KL (-204883)
chr11.68354200.68354800	LRP5 (+41891)
chr1.45550300.45552700	AKR1A1 (+957)
chr6.44456100.44456900	RUNX2 (-871869)
chr11.2097000.2097800	IGF2 (+43838)
chr20.4972600.4974200	RASSF2 (-149755)
chr14.75200300.75201400	FOS (-77924)
chr8.53692000.53693700	ATP6V1H (+150412)
chr5.55923100.55923900	IL6ST (+71493)
chr16.55323500.55326500	MMP2 (-153971)
chr10.46398000.46400300	NPY4R (+66731)
chr10.46541200.46541700	NPY4R (-75569)
chr10.46552700.46553700	NPY4R (-87319)
chr10.120942500.120943200	FGFR2 (+655553)
chr10.120978500.120980200	FGFR2 (+619053)
chr10.121596800.121599500	FGFR2 (+253)
chr10.121607900.121609200	FGFR2 (-10147)
chr10.121734300.121735300	FGFR2 (-136397)
chr10.121900200.121901200	FGFR2 (-302297)
chr11.2137000.2145900	IGF2 (-212)
chr11.2149100.2152400	IGF2 (-9512)
chr11.2156200.2157300	IGF2 (-15512)
chr11.9015500.9015900	SCUBE2 (+75901)
chr11.9047600.9048600	SCUBE2 (+43501)
chr11.9088800.9092000	SCUBE2 (+1201)
chr11.9106900.9107700	SCUBE2 (-15699)
chr11.9137000.9139500	SCUBE2 (-46649)
chr11.13462000.13464100	PTH (+32970)
chr11.13465800.13466300	PTH (+29970)
chr11.68312100.68315100	LRP5 (+991)
chr11.68342200.68343200	LRP5 (+30091)
chr11.68373900.68374900	LRP5 (+61791)
chr11.68379200.68381000	LRP5 (+67491)
chr11.68383800.68384400	LRP5 (+71491)
chr11.68399300.68399900	LRP5 (+86991)
chr11.68447200.68447600	LRP5 (+134791)
chr12.27820800.27822500	PTHLH (+151055)
chr12.27844000.27845000	PTHLH (+128205)
chr12.27967600.27972500	PTHLH (+2655)

